INFO : 2021-08-27 10:51:20,655 : Generated dir raw_data/2019-20
INFO : 2021-08-27 12:43:57,713 : SUCCESS : Evan Fournier = (333, 20) = 203095.csv
INFO : 2021-08-27 12:44:40,605 : SUCCESS : Evan Turner = (149, 20) = 202323.csv
INFO : 2021-08-27 12:45:12,011 : SUCCESS : Frank Jackson = (294, 20) = 1628402.csv
INFO : 2021-08-27 12:45:44,058 : SUCCESS : Frank Kaminsky = (252, 20) = 1626163.csv
INFO : 2021-08-27 12:46:16,352 : SUCCESS : Frank Mason III = (61, 20) = 1628412.csv
INFO : 2021-08-27 12:47:20,187 : SUCCESS : Frank Ntilikina = (309, 20) = 1628373.csv
INFO : 2021-08-27 12:48:03,401 : SUCCESS : Fred VanVleet = (310, 20) = 1627832.csv
INFO : 2021-08-27 12:48:33,569 : SUCCESS : Furkan Korkmaz = (357, 20) = 1627788.csv
INFO : 2021-08-27 12:49:03,236 : SUCCESS : Gabe Vincent = (55, 20) = 1629216.csv
INFO : 2021-08-27 12:49:46,047 : SUCCESS : Garrett Temple = (337, 20) = 202066.csv
INFO : 2021-08-27 12:50:14,795 : SUCCESS : Garrison Mathews = (130, 20) = 1629726.csv
INFO : 2021-08-27 12:50:48,860 : SUCCESS : Gary Clark = (269, 20) = 1629109.csv
INFO : 2021-08-27 12:51:23,065 : SUCCESS : Gary Harris = (324, 20) = 203914.csv
INFO : 2021-08-27 12:51:53,495 : SUCCESS : Gary Payton II = (166, 20) = 1627780.csv
INFO : 2021-08-27 12:52:34,205 : SUCCESS : Gary Trent Jr. = (324, 20) = 1629018.csv
INFO : 2021-08-27 12:53:30,635 : SUCCESS : George Hill = (330, 20) = 201588.csv
INFO : 2021-08-27 12:54:05,097 : SUCCESS : Georges Niang = (358, 20) = 1627777.csv
INFO : 2021-08-27 12:54:39,771 : SUCCESS : Giannis Antetokounmpo = (341, 20) = 203507.csv
INFO : 2021-08-27 12:55:17,949 : SUCCESS : Glenn Robinson III = (345, 20) = 203922.csv
INFO : 2021-08-27 12:55:53,988 : SUCCESS : Goga Bitadze = (269, 20) = 1629048.csv
INFO : 2021-08-27 12:56:31,132 : SUCCESS : Goran Dragic = (354, 20) = 201609.csv
INFO : 2021-08-27 12:56:56,654 : SUCCESS : Gordon Hayward = (301, 20) = 202330.csv
INFO : 2021-08-27 12:57:36,472 : SUCCESS : Gorgui Dieng = (318, 20) = 203476.csv
INFO : 2021-08-27 12:58:29,549 : SUCCESS : Grant Williams = (360, 20) = 1629684.csv
INFO : 2021-08-27 12:59:11,940 : SUCCESS : Grayson Allen = (257, 20) = 1628960.csv
INFO : 2021-08-27 12:59:47,473 : SUCCESS : Hamidou Diallo = (301, 20) = 1628977.csv
INFO : 2021-08-27 13:00:26,179 : SUCCESS : Harrison Barnes = (362, 20) = 203084.csv
INFO : 2021-08-27 13:01:03,854 : SUCCESS : Harry Giles III = (275, 20) = 1628385.csv
INFO : 2021-08-27 13:01:40,042 : SUCCESS : Hassan Whiteside = (316, 20) = 202355.csv
INFO : 2021-08-27 13:02:03,475 : SUCCESS : Henry Ellenson = (28, 20) = 1627740.csv
INFO : 2021-08-27 13:02:42,076 : SUCCESS : Ian Mahinmi = (195, 20) = 101133.csv
INFO : 2021-08-27 13:03:11,282 : SUCCESS : Ignas Brazdeikis = (58, 20) = 1629649.csv
INFO : 2021-08-27 13:03:44,863 : SUCCESS : Iman Shumpert = (98, 20) = 202697.csv
INFO : 2021-08-27 13:04:25,352 : SUCCESS : Isaac Bonga = (352, 20) = 1629067.csv
INFO : 2021-08-27 13:04:56,354 : SUCCESS : Isaiah Hartenstein = (159, 20) = 1628392.csv
INFO : 2021-08-27 13:05:28,214 : SUCCESS : Isaiah Roby = (13, 20) = 1629676.csv
INFO : 2021-08-27 13:06:30,872 : SUCCESS : Isaiah Thomas = (245, 20) = 202738.csv
INFO : 2021-08-27 13:07:05,962 : SUCCESS : Ish Smith = (354, 20) = 202397.csv
INFO : 2021-08-27 13:07:38,275 : SUCCESS : Ivica Zubac = (313, 20) = 1627826.csv
INFO : 2021-08-27 13:08:14,399 : SUCCESS : J.J. Barea = (204, 20) = 200826.csv
INFO : 2021-08-27 13:08:40,649 : SUCCESS : J.P. Macura = (1, 20) = 1629122.csv
INFO : 2021-08-27 13:09:11,995 : SUCCESS : JJ Redick = (301, 20) = 200755.csv
INFO : 2021-08-27 13:09:43,474 : SUCCESS : JR Smith = (56, 20) = 2747.csv
INFO : 2021-08-27 13:10:25,393 : SUCCESS : Ja Morant = (354, 20) = 1629630.csv
INFO : 2021-08-27 13:10:53,473 : SUCCESS : JaKarr Sampson = (192, 20) = 203960.csv
INFO : 2021-08-27 13:11:32,872 : SUCCESS : JaMychal Green = (335, 20) = 203210.csv
INFO : 2021-08-27 13:12:20,708 : SUCCESS : JaVale McGee = (304, 20) = 201580.csv
INFO : 2021-08-27 13:13:01,446 : SUCCESS : Jabari Parker = (281, 20) = 203953.csv
INFO : 2021-08-27 13:13:30,483 : SUCCESS : Jacob Evans = (218, 20) = 1628980.csv
INFO : 2021-08-27 13:14:08,185 : SUCCESS : Jae Crowder = (316, 20) = 203109.csv
INFO : 2021-08-27 13:14:37,723 : SUCCESS : Jahlil Okafor = (192, 20) = 1626143.csv
INFO : 2021-08-27 13:15:11,094 : SUCCESS : Jake Layman = (178, 20) = 1627774.csv
INFO : 2021-08-27 13:15:44,414 : SUCCESS : Jakob Poeltl = (323, 20) = 1627751.csv
