INFO : 2021-08-26 20:51:38,146 : Dir raw_data/2017-18 already exists
DEBUG : 2021-08-26 20:51:49,968 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/326adf90-3d8c-4967-b3f6-50bc01806315/text HTTP/1.1" 200 19
DEBUG : 2021-08-26 20:51:49,968 : Finished Request
DEBUG : 2021-08-26 20:51:49,969 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/fabec23a-76b1-421c-9c08-68eaba31f565/text {"id": "fabec23a-76b1-421c-9c08-68eaba31f565"}
DEBUG : 2021-08-26 20:51:49,983 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/fabec23a-76b1-421c-9c08-68eaba31f565/text HTTP/1.1" 200 19
DEBUG : 2021-08-26 20:51:49,983 : Finished Request
DEBUG : 2021-08-26 20:51:49,983 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/b7bfca78-9ccf-4cec-b0e0-2f44eadb62d4/text {"id": "b7bfca78-9ccf-4cec-b0e0-2f44eadb62d4"}
DEBUG : 2021-08-26 20:51:49,996 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/b7bfca78-9ccf-4cec-b0e0-2f44eadb62d4/text HTTP/1.1" 200 19
DEBUG : 2021-08-26 20:51:49,997 : Finished Request
DEBUG : 2021-08-26 20:51:49,997 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/fe7f1e12-8414-4e82-8c58-84aaedcaff57/text {"id": "fe7f1e12-8414-4e82-8c58-84aaedcaff57"}
DEBUG : 2021-08-26 20:51:50,010 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/fe7f1e12-8414-4e82-8c58-84aaedcaff57/text HTTP/1.1" 200 19
DEBUG : 2021-08-26 20:51:50,010 : Finished Request
DEBUG : 2021-08-26 20:51:50,010 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/f1d7187a-c716-424e-8e22-96428420a4ab/text {"id": "f1d7187a-c716-424e-8e22-96428420a4ab"}
DEBUG : 2021-08-26 20:51:50,023 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/f1d7187a-c716-424e-8e22-96428420a4ab/text HTTP/1.1" 200 19
DEBUG : 2021-08-26 20:51:50,023 : Finished Request
DEBUG : 2021-08-26 20:51:50,023 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/06ac514d-0dc4-4102-8d18-c55efa9afea9/text {"id": "06ac514d-0dc4-4102-8d18-c55efa9afea9"}
DEBUG : 2021-08-26 20:51:50,038 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/06ac514d-0dc4-4102-8d18-c55efa9afea9/text HTTP/1.1" 200 19
DEBUG : 2021-08-26 20:51:50,038 : Finished Request
DEBUG : 2021-08-26 20:51:50,038 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/b0372fcb-f58e-4c6d-90c8-fd7389fb7f8e/text {"id": "b0372fcb-f58e-4c6d-90c8-fd7389fb7f8e"}
