player,season,POSS,adj_usg_rank,Big Freq%,Wing Freq%,Forward Freq%,Guard Freq%,score,versatility_score_rank,height,weight,adj_usg_rank_guard,adj_usg_rank_wing,adj_usg_rank_forward,adj_usg_rank_big
Derrick Rose,2019-20,1749.6,0.6710775047258979,0.06532921810699589,0.3446502057613169,0.14671925011431183,0.4433013260173754,1.187185706607278,0.27977315689981097,76.26943301326018,205.52514860539551,0.3897338403041825,0.8083491461100569,0.34593572778827975,0.7709923664122137
Derrick Walton,2019-20,348.6,0.4102079395085066,0.07515777395295468,0.31927710843373497,0.17240390131956396,0.4331612162937464,1.224112003176526,0.47448015122873344,76.41537578886977,204.23522662076877,0.17680608365019013,0.4971537001897533,0.6313799621928167,0.4599236641221374
Derrick White,2019-20,2264.7,0.9716446124763705,0.09528855919106284,0.31138782178655017,0.2377798383891907,0.35554378063319647,1.296129609154301,0.9017013232514177,77.01960524572792,208.11233275930587,0.935361216730038,0.9354838709677419,0.9792060491493384,0.7080152671755725
Devin Booker,2019-20,3429.3,0.7939508506616257,0.07637127110489023,0.4202023736622635,0.2563496923570408,0.2470766628758056,1.2547353973900721,0.6862003780718336,77.4601230571837,211.7801300556965,0.714828897338403,0.715370018975332,0.8449905482041588,0.8263358778625954
Devon Hall,2019-20,116.0,0.011342155009451797,0.08362068965517241,0.31810344827586207,0.2681034482758621,0.33017241379310347,1.290254769976447,0.8865784499054821,77.0853448275862,209.0431034482759,0.011406844106463879,0.020872865275142316,0.00945179584120983,0.02862595419847328
Devonte' Graham,2019-20,2874.5,0.6086956521739131,0.0717690033049226,0.382883979822578,0.21788137067316057,0.327465646199339,1.2538210605550573,0.6805293005671077,76.90495738389285,207.77467385632286,0.33079847908745247,0.6337760910815939,0.718336483931947,0.5286259541984732
Dewan Hernandez,2019-20,40.1,0.01890359168241966,0.5835411471321695,0.08478802992518703,0.254364089775561,0.07730673316708227,1.0692667433492278,0.054820415879017016,81.02743142144638,237.935162094763,0.045627376425855515,0.036053130929791274,0.013232514177693762,0.022900763358778626
Dewayne Dedmon,2019-20,1056.8,0.5803402646502835,0.5973694171082513,0.08724451173353519,0.21744890234670702,0.09793716881150644,1.0795011952225952,0.06427221172022685,81.10361468584405,236.76220666161998,0.7262357414448669,0.6015180265654649,0.5330812854442344,0.5362595419847328
Dillon Brooks,2019-20,2961.6,0.9792060491493384,0.07931523500810372,0.421191247974068,0.2226499189627228,0.27684359805510533,1.254806957492696,0.6899810964083176,77.21451242571582,210.29747433819554,0.9714828897338403,0.9791271347248577,0.9678638941398866,0.7061068702290076
Dion Waiters,2019-20,288.0,0.27599243856332706,0.054166666666666655,0.38680555555555546,0.2527777777777777,0.30624999999999997,1.2349673358606554,0.5482041587901701,77.07256944444444,210.67916666666662,0.13878326996197718,0.4060721062618596,0.31379962192816635,0.1965648854961832
