player,season,POSS,adj_usg_rank,freq_gte82,freq_lte78,freq_lte81,freq_lte75,poss_lte78,poss_lte81,poss_lte75,poss_gte82,poss,versatility_score_rank,height,weight
Cristiano Felicio,2020-21,113.39999999999999,0.024489795918367346,0.419753086419753,0.13403880070546734,0.37918871252204583,0.06701940035273368,15.199999999999998,43.0,7.6,47.599999999999994,113.4,0.1653061224489796,80.86419753086417,238.40828924162255
D'Angelo Russell,2020-21,1630.8,0.46938775510204084,0.06579592837870983,0.3999264164827078,0.25049055678194754,0.2837870983566348,652.1999999999999,408.5,462.8,107.29999999999998,1630.8,0.5571428571428572,77.01925435369144,207.76631101299978
D.J. Augustin,2020-21,1564.9,0.32040816326530613,0.04313374656527574,0.38226084733848814,0.14633522908812066,0.42827017700811554,598.2,229.0,670.1999999999999,67.5,1564.8999999999999,0.09183673469387756,76.19311138091891,203.14371525337083
D.J. Wilson,2020-21,605.3,0.17346938775510204,0.3626301007764745,0.1999008755988766,0.294564678671733,0.14290434495291593,121.0,178.29999999999998,86.5,219.5,605.3,0.9489795918367347,79.78704774491989,227.87741615727742
DaQuan Jeffries,2020-21,706.9,0.44285714285714284,0.1246286603479983,0.383505446314896,0.32734474465978214,0.16452114867732348,271.1,231.4,116.29999999999998,88.10000000000001,706.9000000000001,0.8061224489795918,78.14245296364408,215.31348139765169
Dakota Mathias,2020-21,172.2,0.08979591836734693,0.06155632984901277,0.3484320557491289,0.3228803716608595,0.26713124274099875,60.0,55.60000000000001,45.99999999999999,10.6,172.20000000000002,0.6,77.20963995354238,207.89024390243904
Damian Jones,2020-21,740.5,0.24897959183673468,0.4790006752194464,0.14463200540175558,0.2920999324780554,0.08426738690074274,107.10000000000001,216.3,62.400000000000006,354.70000000000005,740.5,0.23673469387755103,80.6964213369345,233.15057393652938
Damian Lillard,2020-21,3246.0,0.7040816326530612,0.07344423906346273,0.40240295748613675,0.21035120147874303,0.3138016019716574,1306.1999999999998,682.7999999999998,1018.5999999999999,238.4,3246.0,0.5530612244897959,77.06558841651263,207.75637707948243
Damion Lee,2020-21,1483.5,0.2571428571428571,0.09255139871924506,0.3922480620155038,0.33218739467475566,0.18301314459049545,581.8999999999999,492.8,271.5,137.30000000000004,1483.5,0.6571428571428571,77.92645770138186,213.8612066059993
Damyean Dotson,2020-21,1226.2,0.32857142857142857,0.07103245800032622,0.4022182351981733,0.21905072581960539,0.3076985809818953,493.20000000000005,268.6000000000001,377.29999999999995,87.1,1226.1999999999998,0.5489795918367347,76.93891697928561,208.50081552764644
Daniel Gafford,2020-21,1137.3,0.30612244897959184,0.5094522113778246,0.10973357953046686,0.30106392332717846,0.07975028576453003,124.79999999999998,342.4000000000001,90.70000000000002,579.4,1137.3000000000002,0.1,80.80752659808316,236.72381957267208
Daniel Oturu,2020-21,212.7,0.006122448979591836,0.31217677480018813,0.21297602256699583,0.40432534085566524,0.07052186177715092,45.30000000000001,85.99999999999999,15.0,66.4,212.7,0.5102040816326531,80.40244475787496,224.8095909732017
Daniel Theis,2020-21,2124.9,0.6040816326530613,0.40477198927008334,0.14518330274365854,0.3585580497905785,0.09148665819567982,308.5,761.9000000000001,194.4,860.0999999999999,2124.8999999999996,0.42448979591836733,80.32250929455505,234.776977740129
Danilo Gallinari,2020-21,1626.0,0.29183673469387755,0.19065190651906522,0.35338253382533824,0.34569495694956953,0.11027060270602707,574.6,562.1,179.3,310.00000000000006,1626.0,0.8306122448979592,78.85719557195571,220.330135301353
Danny Green,2020-21,2638.1,0.9061224489795918,0.07691141351730411,0.3479777112315682,0.27584246237822674,0.299268412872901,918.0,727.6999999999999,789.5000000000001,202.89999999999998,2638.1,0.7571428571428571,77.2408172548425,210.7362874796255
Dante Exum,2020-21,153.2,0.9653061224489796,0.10443864229765012,0.3276762402088772,0.30026109660574407,0.2676240208877284,50.199999999999996,45.99999999999999,41.0,16.0,153.20000000000002,0.9081632653061225,77.46736292428197,211.60704960835508
Danuel House Jr.,2020-21,1298.1,0.746938775510204,0.10438332948154996,0.33079115630536937,0.29435328557121954,0.27047222864186116,429.4,382.1,351.09999999999997,135.5,1298.1,0.9061224489795918,77.71481395886295,212.71265696017255
